paired comparison against baseline 'main' (ad7fcc1affd0746a, 391 forecast dates from 1994-03-01) and this run (dfd3d31928c59eb6, 391 from 1994-03-01)
statistic: the pre-registered verdict's mean Brier skill score over its fixed set of scoreable indicators, this run minus the baseline, on the resolved forecasts both runs made
interval: 90% and 98.33% moving-block bootstrap of forecast dates, blocks as long as the horizon in months, every indicator on a date kept together, one draw of dates per resample applied to both runs and read at every level; 10000 resamples, seed 20260908

resolved forecasts (indicator, forecast date, horizon): 9702 in both, 0 only in the baseline, 0 only in this run
the two runs resolved the same forecasts, so each side's skill below is exactly what its own verdict reports

horizon     in both  only baseline  only this run  baseline skill  this run skill  difference  90% interval        98.33% interval     independent obs  resamples
----------  -------  -------------  -------------  --------------  --------------  ----------  ------------------  ------------------  ---------------  ---------
12 months   3754     0              0              +0.2154         +0.2338         +0.0184     [-0.0050, +0.0404]  [-0.0150, +0.0511]  31.5             9953
60 months   3274     0              0              +0.0728         +0.0211         -0.0517     [-0.1097, -0.0183]  [-0.1451, -0.0034]  5.5              7495
120 months  2674     0              0              -0.3528         -0.4708         -0.1181     [-0.2331, +0.0689]  [-1.2738, +0.1202]  2.2              5443

brier skill score by indicator, this run minus the baseline (point estimates; the interval belongs to the mean above):
indicator                                                   12 months  60 months  120 months
----------------------------------------------------------  ---------  ---------  ----------
consumer_price_inflation_above_five_percent_within_horizon  +0.0098    -0.0707    +0.1467
consumer_price_inflation_above_three_percent_at_horizon     +0.0010    -0.0426    +0.0437
economy_in_recession_at_horizon_date                        +0.0835    +0.0475    +0.0782
economy_in_recession_within_horizon                         +0.0043    -0.0744    -1.3935
federal_funds_rate_above_four_percent_at_horizon            +0.0980    -0.0865    -0.0933
federal_funds_rate_below_one_percent_within_horizon         +0.0317    +0.0747    -0.0069
industrial_production_growth_above_two_percent_at_horizon   +0.0767    +0.0356    +0.0336
treasury_yield_curve_inverted_within_horizon                +0.0424    -0.1094    +0.2216
unemployment_rate_above_five_percent_at_horizon             -0.0971    -0.0859    -0.0306
unemployment_rate_above_seven_percent_within_horizon        -0.0664    -0.2051    -0.0690
